generation,currentPopulationBestCost,currentPopulationBestVehicleCount,currentPopulationAverageCost,BSFcost,BSFvehicleCount
229,3725.0,5,3864.33,3586.0,5
230,3725.0,5,3862.09,3586.0,5
231,3725.0,5,3861.3,3586.0,5
232,3725.0,5,3859.94,3586.0,5
233,3725.0,5,3858.06,3586.0,5
234,3725.0,5,3856.75,3586.0,5
235,3725.0,5,3853.99,3586.0,5
236,3725.0,5,3852.14,3586.0,5
237,3725.0,5,3851.17,3586.0,5
238,3725.0,5,3849.57,3586.0,5
239,3725.0,5,3848.43,3586.0,5
240,3725.0,5,3848.43,3586.0,5
241,3725.0,5,3847.44,3586.0,5
242,3725.0,5,3846.86,3586.0,5
243,3725.0,5,3845.8,3586.0,5
244,3725.0,5,3844.45,3586.0,5
245,3719.0,5,3840.87,3586.0,5
246,3719.0,5,3838.74,3586.0,5
247,3719.0,5,3838.09,3586.0,5
248,3665.0,5,3831.59,3586.0,5
249,3665.0,5,3830.23,3586.0,5
250,3665.0,5,3828.61,3586.0,5
251,3665.0,5,3828.31,3586.0,5
252,3665.0,5,3826.83,3586.0,5
253,3665.0,5,3826.47,3586.0,5
254,3665.0,5,3824.04,3586.0,5
255,3665.0,5,3822.22,3586.0,5
256,3665.0,5,3821.39,3586.0,5
257,3665.0,5,3821.13,3586.0,5
258,3665.0,5,3819.57,3586.0,5
259,3665.0,5,3818.43,3586.0,5
260,3665.0,5,3814.07,3586.0,5
261,3665.0,5,3810.06,3586.0,5
262,3665.0,5,3808.24,3586.0,5
263,3665.0,5,3806.62,3586.0,5
264,3665.0,5,3805.55,3586.0,5
265,3665.0,5,3803.44,3586.0,5
266,3665.0,5,3801.97,3586.0,5
267,3665.0,5,3799.94,3586.0,5
268,3665.0,5,3798.65,3586.0,5
269,3665.0,5,3797.77,3586.0,5
270,3665.0,5,3796.62,3586.0,5
271,3665.0,5,3793.79,3586.0,5
272,3665.0,5,3793.47,3586.0,5
273,3665.0,5,3793.47,3586.0,5
274,3665.0,5,3793.36,3586.0,5
275,3665.0,5,3792.25,3586.0,5
276,3665.0,5,3792.08,3586.0,5
277,3665.0,5,3791.36,3586.0,5
278,3665.0,5,3790.52,3586.0,5
279,3665.0,5,3788.6,3586.0,5
280,3665.0,5,3787.09,3586.0,5
281,3665.0,5,3787.09,3586.0,5
282,3665.0,5,3785.61,3586.0,5
283,3665.0,5,3783.69,3586.0,5
284,3665.0,5,3781.96,3586.0,5
285,3665.0,5,3781.95,3586.0,5
286,3665.0,5,3781.9,3586.0,5
287,3665.0,5,3780.48,3586.0,5
288,3665.0,5,3780.48,3586.0,5
289,3665.0,5,3778.89,3586.0,5
290,3665.0,5,3778.35,3586.0,5
291,3665.0,5,3778.12,3586.0,5
292,3665.0,5,3778.12,3586.0,5
293,3665.0,5,3777.88,3586.0,5
294,3665.0,5,3776.09,3586.0,5
295,3665.0,5,3774.27,3586.0,5
296,3665.0,5,3773.67,3586.0,5
297,3665.0,5,3772.69,3586.0,5
298,3665.0,5,3772.69,3586.0,5
299,3665.0,5,3772.32,3586.0,5
300,3665.0,5,3771.46,3586.0,5
301,4066.0,5,4461.27,3586.0,5
302,3903.0,5,4337.84,3586.0,5
303,3903.0,5,4296.55,3586.0,5
304,3903.0,5,4266.83,3586.0,5
305,3903.0,5,4328.0,3586.0,5
306,3661.0,5,4384.51,3586.0,5
307,3661.0,5,4234.87,3586.0,5
308,3661.0,5,4168.84,3586.0,5
309,3661.0,5,4128.8,3586.0,5
310,3661.0,5,4083.79,3586.0,5
311,3661.0,5,4050.15,3586.0,5
312,3661.0,5,4016.3,3586.0,5
313,3661.0,5,4002.19,3586.0,5
314,3661.0,5,3981.52,3586.0,5
315,3661.0,5,3966.13,3586.0,5
316,3661.0,5,3946.63,3586.0,5
317,3661.0,5,3925.88,3586.0,5
318,3661.0,5,3917.82,3586.0,5
319,3661.0,5,3907.95,3586.0,5
320,3661.0,5,3900.21,3586.0,5
321,3661.0,5,3888.64,3586.0,5
322,3661.0,5,3886.61,3586.0,5
323,3661.0,5,3871.1,3586.0,5
324,3661.0,5,3856.01,3586.0,5
325,3661.0,5,3846.78,3586.0,5
326,3661.0,5,3835.09,3586.0,5
327,3661.0,5,3826.12,3586.0,5
328,3661.0,5,3817.04,3586.0,5
329,3661.0,5,3808.49,3586.0,5
330,3661.0,5,3801.05,3586.0,5
331,3661.0,5,3792.99,3586.0,5
332,3661.0,5,3789.59,3586.0,5
333,3569.0,5,3778.1,3569.0,5
334,3569.0,5,3773.24,3569.0,5
335,3569.0,5,3767.19,3569.0,5
336,3569.0,5,3761.55,3569.0,5
337,3569.0,5,3757.08,3569.0,5
338,3569.0,5,3749.69,3569.0,5
339,3569.0,5,3747.21,3569.0,5
340,3569.0,5,3746.26,3569.0,5
341,3569.0,5,3744.93,3569.0,5
342,3569.0,5,3742.91,3569.0,5
343,3569.0,5,3740.28,3569.0,5
344,3569.0,5,3736.21,3569.0,5
345,3569.0,5,3734.81,3569.0,5
